----------Receptor tables----------


DDEP_OXN_m2Grid

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
2006  36.8669  25.9655  40.3349  22.4581  0.6168  1.1407  53.6741  1.8302  0.5623  0.0949  2.0734  7.4765  0.0666  1.7950  30.1278  22.2093  35.9104  57.2433  18.6655  173.6782  23.6878  145.6208  13.9047  48.5830  4.8648  12.1947  7.3308  5.1802  71.6812  1.3040  12.8817  3.5578  10.2620  242.8144  291.5247  73.6268  93.1344  337.7038  
2007  33.0258  18.0934  40.4693  19.2975  0.5639  0.7773  39.9572  1.9966  0.6419  0.0593  1.5271  5.4581  0.0472  1.7281  27.8132  20.0854  28.1339  53.4558  16.3193  124.7651  18.6034  115.2772  9.2955  45.9374  4.5989  10.0491  8.4123  5.5676  66.9128  1.1445  9.3151  3.4872  8.6503  209.9660  225.3207  54.7283  84.9697  313.0498  
2008  27.7800  22.5330  52.1415  16.9757  0.4632  0.7645  43.0721  1.6893  0.5256  0.0921  2.4207  6.0909  0.0521  1.8754  31.4873  20.6092  29.1755  43.9944  20.2720  145.4305  18.6648  102.9465  13.5021  39.1138  4.7880  11.3900  9.4556  5.9907  68.9877  1.0503  10.1107  3.9008  8.1626  214.6497  246.2519  56.6757  71.0143  296.7270  
2009  28.7736  21.2633  41.7098  14.6395  0.3951  0.7426  34.5201  1.5020  0.4524  0.0820  2.0257  5.6787  0.0560  1.5186  26.0040  20.0401  32.0131  39.6375  16.2325  134.8636  21.2941  125.4837  13.3663  30.9713  3.9049  9.5680  6.3982  4.5379  58.3980  1.0609  9.9339  2.9326  8.2355  210.8691  251.2816  50.5889  60.6231  265.2692  
2010  34.4720  17.2560  32.7634  22.1904  0.5481  0.6725  37.0033  1.8792  0.6095  0.0661  1.4838  4.4913  0.0391  1.6172  27.9925  17.2188  25.2506  51.3413  13.1574  132.5370  17.5282  97.5482  9.9337  45.0412  4.6319  11.1107  7.4518  4.8827  65.1282  0.8918  8.2117  3.1903  7.4656  176.7750  225.6351  53.6622  84.8990  268.5722  
2011  24.5739  20.5637  41.2658  21.9189  0.3874  0.7293  29.0517  1.0845  0.3287  0.0876  2.0976  5.5707  0.0553  1.2522  21.8444  16.1922  27.5319  33.8363  15.5524  121.9462  19.0678  122.1540  13.4743  33.3253  4.6950  10.1164  7.4174  4.8552  56.9962  0.9265  9.2559  3.2368  7.5293  215.3937  219.4911  44.6695  64.3401  237.3345  
2012  22.3284  14.5097  29.9774  14.4594  0.4141  0.7679  32.7142  1.4335  0.4771  0.0583  1.0468  5.7046  0.0498  1.7041  29.7681  20.9473  30.1098  39.3395  11.4492  121.8630  17.0989  95.8973  7.4044  33.3293  5.4830  12.0705  8.1297  5.3841  66.3926  1.0658  10.0863  3.9438  7.9695  161.8895  226.9445  49.6348  63.5357  202.6792  
2013  25.6014  15.5744  36.2694  12.3061  0.4915  0.6867  40.7056  1.7731  0.5867  0.0747  1.1647  4.4249  0.0399  1.4899  22.1521  16.0476  23.4200  45.5448  11.1782  120.3744  15.4113  90.8099  7.9009  32.5013  3.6410  7.8211  6.8171  4.2132  53.0333  0.8531  7.7998  3.0178  7.0952  158.9958  196.2543  53.2133  64.7990  238.2644  
2014  19.4778  23.1173  43.3041  14.8004  0.3593  0.7786  32.5330  1.1102  0.3952  0.1024  1.8036  5.8710  0.0596  1.3709  25.7668  18.8047  30.9690  34.0183  16.7359  136.9428  15.7377  105.7597  10.7568  28.3337  4.1014  9.6129  5.7693  3.6499  53.4794  0.9751  9.8191  2.7661  7.9455  188.4747  242.7413  48.6287  56.2813  202.8955  
2015  19.5535  17.3030  30.5964  15.0265  0.3653  0.5807  26.7799  1.1061  0.3841  0.0705  1.3537  4.8377  0.0418  1.1516  21.3683  17.4464  25.2388  33.5622  14.6543  105.2957  17.4063  98.0552  9.2288  29.8048  4.2352  8.3119  5.9981  3.9369  52.2947  1.0579  8.8015  2.6040  8.4499  174.2447  194.3625  40.5640  56.5077  194.1259  
2016  18.0459  13.9270  27.7230  14.4634  0.3191  0.6155  34.1367  1.3818  0.4088  0.0474  1.0771  3.9943  0.0371  1.1618  22.7047  16.6889  23.0532  34.1308  10.9767  108.9853  17.3072  88.5754  7.3918  29.4605  3.5763  8.0968  5.6498  3.4031  45.6771  0.8093  7.6296  2.1556  7.2601  157.7901  190.0291  47.3492  54.4322  204.4514  
2017  18.1250  13.7906  26.6025  12.2951  0.2769  0.4841  23.4623  1.1241  0.4026  0.0608  1.4288  4.4441  0.0394  1.2024  20.5885  15.4697  24.2731  28.4972  12.4674  92.6196  14.3495  79.8896  8.3843  23.9159  3.7332  8.4999  6.0148  4.0157  52.7402  0.9062  8.1599  2.5658  7.0560  146.9653  179.7926  35.3786  44.7909  174.5697  
2018  19.2673  18.4932  36.8901  15.0053  0.3380  0.6440  30.5391  1.3985  0.3975  0.0832  2.2014  3.9626  0.0377  1.0435  19.7743  13.5366  22.4757  33.3769  16.8339  106.4965  17.3981  93.9773  12.1545  28.3796  3.6368  8.4233  5.5350  3.6109  45.2193  0.7630  7.0569  2.3897  5.9703  187.8452  184.8564  43.8264  54.1272  193.6018  
2019  17.1152  15.1631  32.6470  8.3312  0.2954  0.5482  29.9018  1.1476  0.3749  0.0637  1.1285  4.9078  0.0481  1.0909  20.2350  14.8186  24.7574  29.6160  11.4816  99.6267  14.3697  82.5589  6.6748  20.7435  3.5231  9.1562  6.3949  4.3285  50.3403  0.8292  8.2460  3.0838  6.2815  147.9332  178.6676  41.4464  42.4272  169.9480  
2020  15.2007  12.5596  24.6483  11.0953  0.2629  0.5043  24.3206  1.0143  0.3052  0.0505  1.3800  4.2919  0.0425  0.9339  17.3991  12.6646  20.8701  26.9276  12.2066  78.2142  15.0057  79.7855  8.1996  22.0385  3.9147  8.3644  5.6208  3.9105  44.4538  0.7312  6.6964  2.7063  4.9735  149.0446  151.2498  34.6478  42.3559  160.8911  
-------------------------------------------------------------------------------------------------------------------------------

DDEP_RDN_m2Grid

