,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOA,NOS,BIC,RU
EEZ185,0.00022312310463,1.75951922159692E-05,0.00443970486897,5.30054109796253E-06,0.00010327461014,8.38346199212847E-05,0.001413057894322,0.028898900424918,0.038574845577348,2.86982909094573E-05,7.25895303078945E-05,9.26559200526585E-05,0.00307571992262,0.015772240182489,2.15579794092841E-06,2.15271217423908E-05,0.00022682535249,0.000571203433766,1.72053626856588E-06,3.15184934109871E-05,0.000159898140861,0.000254541083483,6.04339036214017E-05,8.12783807009778E-06,0.011902826965361,0.003502840690919,0.007834567060402,4.70242765381791E-06,5.94516701467107E-05,7.31492009939655E-05,0.014079340810947,1.72615407443666E-05,0.000214890260016,5.05314075553679E-07,0.000102614474732,0.000302148743865,0.053805673753544,8.3237215420838E-07,1.14375289909919E-05,4.96672829520681E-06,0.187098790624838,nan,2.60029990725351E-05
EEZ187,2.09818332172895E-08,1.22408500119884E-09,2.67615771998058E-07,6.36192669276606E-10,1.71828464296722E-08,8.73487150191078E-09,1.42460957604356E-07,2.20384867523035E-06,3.04439391541288E-06,5.47407407178472E-09,5.4128983572772E-09,1.80628119442431E-08,2.41854238338021E-07,1.07015728434311E-06,2.81532267521486E-10,1.54445655993836E-09,1.70162872315877E-08,3.317271730759E-08,3.9730839807057E-11,3.01610167717351E-09,2.56705909382278E-08,1.91055582298339E-08,9.91375842787789E-09,9.21572418700761E-10,7.89388638798444E-07,9.92013225795655E-07,7.58274139511206E-07,2.85180101931532E-10,6.09943902940734E-09,5.16422929408963E-09,2.17657268606548E-06,1.56351081643741E-09,1.84123960489359E-08,5.55914106204465E-11,1.31534448124105E-08,1.70230526032629E-08,3.32225320868193E-06,9.00676427176867E-11,1.02382700409008E-09,2.88316925010616E-10,1.76188191375213E-05,nan,3.19267700652774E-09
EEZ188,5.41839423253379E-06,2.88669027300298E-08,0.000895193722999,3.10853419327932E-08,1.67901748465699E-07,8.48190646113738E-06,1.46040313523701E-05,0.000496606544159,1.12626841399766E-05,4.41064190452237E-08,3.31966338415529E-05,2.76138449404302E-07,0.002838339318477,0.007619382065097,1.37322245918376E-08,6.86221741681393E-08,3.29799775067726E-07,0.000182994509897,6.58940410722206E-07,2.23402786675672E-06,2.02795615941963E-07,2.55217094166617E-05,1.29233002141967E-07,2.49896269532176E-08,0.000665296005988,1.02302747581877E-05,1.12711258036359E-05,3.34111363157227E-06,1.97205001155581E-07,5.99918815379888E-08,2.50012572015693E-06,1.9163937843744E-07,4.45657489656044E-07,1.20422249241176E-09,1.18262539713437E-07,0.000234577652596,9.14192569768686E-06,4.11070773548754E-09,1.32371756522275E-06,4.40444280528767E-07,0.03731481464331,nan,8.03613639927712E-08
EEZ189,0.002523563352539,4.85568956608306E-05,0.256415284610391,4.32732829430855E-06,4.42778609129283E-05,0.002016210818683,0.007646575236175,0.248827472253225,0.021997404750417,5.38449248816627E-05,0.004715725690388,0.000202861066049,0.321385346757423,2.50630820838618,2.11826862619182E-06,8.32055975380511E-05,0.000420808877577,0.052720282159513,0.000175161643503,0.000514696492261,0.000154479087113,0.008660762770781,0.000122671683711,4.37333129109892E-06,0.438691938856395,0.008194135337738,0.009647863793252,0.000472698304317,2.87854683833944E-05,4.03383610145393E-05,0.00251024406681,9.7764869940984E-05,0.000387456294903,3.05364916211798E-07,2.23960475700216E-05,0.041814093389434,0.017961020149245,7.33273238430374E-07,0.000220016191176,0.000104299924187,8.36897702599727,nan,3.91299561655592E-05
EEZ190,0.002972738850573,7.05875893219053E-05,0.125998959225787,5.42223018652305E-06,2.94942673941469E-05,0.001230762495341,0.010251214316836,0.279556870089011,0.028552797865687,5.28969260985139E-05,0.001513751514163,0.000198626569364,0.088088449510566,0.660407472308469,2.0678277970587E-06,0.000123014141704,0.000747193272978,0.01715660914417,5.25094915624818E-05,0.000359170085616,0.000108070707144,0.005530937396977,7.4619281971491E-05,3.79040530220192E-06,0.319388763589307,0.007081439496522,0.01300698468421,0.000144114816672,5.68891273113889E-05,0.000112866936181,0.002440551054064,0.000129256003389,0.000589561935942,2.47301032136924E-07,4.7735515024451E-05,0.011079475275484,0.025137670885729,4.78720748219874E-07,0.000106405338148,3.445345591777E-05,3.54782867227873,nan,4.08326923749588E-05
EEZ191,0.007473967920015,0.00038783927895,0.182744362595299,7.34750952836959E-05,0.000666266836951,0.003202714247865,0.035449698591881,0.801086885931247,0.453741309196659,0.000298449394423,0.00248478298518,0.001732647739046,0.12581314916233,1.12508800202016,2.42868129040845E-05,0.000440212900547,0.00420793512198,0.031303536567187,9.69122587355488E-05,0.000858846268433,0.001374881588166,0.009687117874842,0.000592622669493,8.76230840947319E-05,0.448916204896314,0.056400099736938,0.121989372621808,0.000179343885913,0.000769286441033,0.001085333460967,0.060529404182497,0.00040896764544,0.003875269538046,4.39457770559571E-06,0.001096141171111,0.017279984538074,0.40640263338517,7.88352528957363E-06,0.000257725576586,7.27145996054221E-05,6.59682256731702,nan,0.000323871568647
EEZ209,0.000812920601479,1.74136440509234E-05,0.149980331321645,1.60584920940826E-06,1.48461596491882E-05,0.00204070647076,0.001961765796111,0.139842348936671,0.004404922394271,1.55316431242076E-05,1.12827647692538,8.38081451086372E-05,1.84049852355864,1.6034599792114,1.93901248520504E-06,5.14739960111393E-05,6.91747188208664E-05,0.260097839740794,0.000343766904077,0.001404427863611,2.27210827935321E-05,0.010262218633333,2.14768506313378E-05,3.18186600228455E-06,0.119634152097769,0.001841891076129,0.001574269049122,0.13472540842218,1.27879242565871E-05,1.0061728500584E-05,0.001241989013067,7.7062234940479E-05,7.5347467022549E-05,9.83272818937868E-07,1.73513326317566E-05,5.06626028559109,0.004908768101983,7.25760254502995E-07,0.008117572978501,0.002817607905456,7.61826065329615,nan,1.2299792047081E-05
EEZ212,0.000194701053552,1.24651418050335E-05,0.005611578367184,3.1939163918249E-06,0.000191589067925,8.228207872742E-05,0.000688881611519,0.02322494442567,0.009032137350169,0.000156268109036,0.000171880922183,0.001631570681417,0.004782136401119,0.07011449375089,1.28044918779103E-06,6.11630485568612E-06,3.38561635094823E-05,0.004758157319694,0.091572139780708,4.0269610459173E-05,0.000249626414692,0.000307655264439,0.000166648490666,2.96464636040118E-05,0.013058314366397,0.037946222470704,0.002950527121272,2.00998797957173E-05,2.63489177024657E-05,8.21366334731968E-06,0.005450894813257,6.29269662129685E-06,4.58460113157086E-05,9.92655304051959E-07,0.000311332058133,0.020149727972018,0.009654140271201,1.6325832034101E-06,1.11082869131774E-05,3.9587014807511E-05,0.17177063868413,nan,0.001347039255313
EEZ213,0.030024242045263,0.001069218633257,1.55127512630525,0.000201440305634,0.001511615509054,0.017561722685335,0.101356674069968,2.95540874272071,0.655757722679121,0.001309146643207,0.206137584425764,0.006693378220629,2.97257865501524,71.099805994413,6.04105532454433E-05,0.001655379349327,0.008109713122527,9.48942431229976,0.050568023276999,0.009584089444572,0.004024839714048,0.068646139023309,0.00232609196358,0.000329967817091,2.99884511577665,1.41330540983002,0.215779407384047,0.035502249448213,0.002012200259443,0.001786903975207,0.113672808055154,0.002008338942107,0.006839305400028,9.03767227768717E-06,0.00209266855505,6.37125716336524,0.450448317800058,3.23171747509518E-05,0.007703534607966,0.003989622517463,105.46877274843,nan,0.001279476091096
EEZ215,0.000177998610518,-1.2587883460098E-06,0.00402576776731,6.72298427509356E-06,0.001238651521787,7.62309496386196E-05,0.000955732742584,0.021681847817119,0.010117756404475,0.002116097192456,0.000169006399304,0.036118187661754,0.003010651389043,0.037327696906899,4.80583170820282E-06,3.71182635237914E-06,4.78480723475184E-05,0.001867964757062,0.004123437842399,1.84974786849601E-05,0.001314133050595,0.000286541139154,0.00130053267383,4.74654138293676E-05,0.009494389507351,0.20647615118981,0.00724625843967,1.55144569496662E-05,3.38418968460088E-05,5.65799498001464E-06,0.022338324908713,5.02762843209336E-06,7.60263447790045E-05,1.3521697290315E-05,0.001607442443127,0.073378273494224,0.027739956780801,1.19286570398596E-05,1.53050811095525E-05,2.52514763312207E-05,0.191932941007574,nan,0.045400008663028
EEZ216,0.027149615231091,0.00116253073821,0.606477601068312,0.000282653108455,0.016775021646272,0.01188891468892,0.127028666751887,2.9681864203258,1.86049906151287,0.018748918169012,0.033597268139427,0.294451685816712,0.622264739373121,13.021589182986,8.8599096541989E-05,0.001249788094899,0.010884534044241,0.673748914650777,0.054763699506431,0.003748727960554,0.028619215165598,0.038001892179049,0.019049651404037,0.000744343372444,1.64678950044029,21.1540401714086,0.525162393686151,0.005212765896582,0.002816958522774,0.00275541857191,1.13609940802878,0.001245776812632,0.011706467420765,0.000107131969117,0.01351076248159,2.54916076682857,1.65168541083028,0.000115717493899,0.002349873307826,0.001109452278413,54.5015130763203,nan,0.074447378406039
